"month","avg_temp_per_month","avg_chance_of_rain_per_month"
"2023-Oc",15.3064516129032258,44.1935483870967742
"2023-Ap",14.6500000000000000,65.0000000000000000
"2023-No",9.1857142857142857,20.0000000000000000
"2023-Se",21.1000000000000000,51.1666666666666667
"2023-Au",23.7516129032258065,58.0645161290322581
"2023-Ju",20.8000000000000000,56.6666666666666667
"2023-Ma",16.3161290322580645,35.4838709677419355
"2023-Ju",25.6612903225806452,77.4193548387096774
